,avg_star
1519,4.4
1520,3.8
1521,4.4
1522,4.3
1523,3.3
1524,4.3
1525,4.3
1526,4.3
1527,4.4
1528,4.3
1529,4.3
1530,4.3
1531,4.1
1532,4.1
1533,4.2
1534,4.3
1535,4.3
1536,3.3
1537,3.9
1538,3.7
1539,3.9
1540,4.1
1541,3
1542,3.6
1543,4.3
1544,4.3
1545,3.3
1546,4.3
1547,4.4
1548,4.3
1549,3.6
1550,4.4
1551,4.1
1552,4.2
1553,3.3
1554,4.3
1555,3
1556,4.4
1557,4.4
1558,3.6
1559,4.3
1560,3
1561,4.4
1562,3.8
1563,4.3
1564,3.8
1565,4.6
1566,4.3
1567,4.3
1568,4.4
1569,4.3
1570,4.2
1571,4.3
1572,3.8
1573,4.4
1574,3.9
1575,4.3
1576,3.5
1577,3.8
1578,3
1579,4.4
1580,4.2
1581,3.9
1582,4.3
1583,4.2
1584,3
1585,4.4
1586,4.4
1587,4.4
1588,3.3
1589,4.4
1590,4.5
1591,4.3
1592,4.3
1593,4.2
1594,4.4
1595,4.4
1596,4.1
1597,3.6
1598,4.6
1599,4
1600,4
1601,4.2
1602,3
1603,3.2
1604,4.1
1605,4.4
1606,4.4
1607,4.4
1608,4.3
1609,4.2
1610,4.2
1611,4.2
1612,3
1613,4.3
1614,3.6
1615,4.4
1616,4.5
1617,4.3
1618,4.3
1619,3.2
1620,3
1621,4.3
1622,4.1
1623,4.4
1624,4.2
1625,4.4
1626,4.3
1627,4.3
1628,4.2
1629,3.9
1630,3.2
1631,4.3
1632,3.2
1633,4.6
1634,3.3
1635,4.3
1636,4.2
1637,4.2
1638,4.3
1639,4.1
1640,4.4
1641,4.2
1642,3
1643,3
1644,4.4
1645,4.2
1646,4.3
1647,4.4
1648,4.3
1649,4.2
1650,4.4
1651,4.3
1652,4.3
1653,4.3
1654,4.4
1655,4.3
1656,3
1657,4.3
1658,4.2
1659,4.3
1660,4.3
1661,3.3
1662,4.3
1663,3
1664,4.3
1665,4.4
1666,4.3
1667,4.3
1668,3.6
1669,3.3
1670,4.5
1671,4.5
1672,3.3
1673,3
1674,4.4
1675,4.2
1676,3.3
1677,4.3
1678,3.6
1679,4.4
1680,4.2
1681,4.2
1682,3
1683,4.2
1684,4.2
1685,4.4
1686,4.3
1687,3.3
1688,3.3
1689,4.3
1690,4.2
1691,3.9
1692,3.6
1693,3.9
1694,4.4
1695,4.4
1696,4.2
1697,4.4
1698,4.4
1699,3.8
1700,4.1
1701,3
1702,4.2
1703,3.9
