"[1193, 0.16666666666666666, -0.16666666666666666]"
"[1193, 0.6875, -0.0625]"
"[1193, 1.0, 0.0]"
"[1193, 0.5, -0.375]"
"[1193, 0.6583333333333333, 0.27499999999999997]"
"[336, 0.5, 0.4]"
"[336, 0.0, 0.0]"
"[336, 0.5416666666666666, -0.2916666666666667]"
"[336, 0.75, -0.75]"
"[3882, 0.0, 0.0]"
"[3882, 0.525, 0.5]"
"[3882, 0.8333333333333334, 0.43333333333333335]"
"[3882, 0.0, 0.0]"
"[3882, 0.7, 0.5083333333333333]"
"[3882, 0.0, 0.0]"
"[2927, 0.0, 0.0]"
"[2927, 0.0, 0.0]"
"[2927, 0.5499999999999999, 0.016666666666666663]"
"[2927, 0.0, 0.0]"
"[2927, 0.0, 0.0]"
"[2927, 0.0, 0.0]"
"[2927, 0.5, 0.5]"
"[2927, 0.5714285714285714, 0.0]"
"[2927, 0.14285714285714285, 0.0]"
"[2927, 1.0, -1.0]"
"[2927, 0.5, -0.5]"
"[2927, 0.0, 0.0]"
"[2927, 0.41666666666666663, 0.125]"
"[2927, 0.0, 0.0]"
"[2927, 0.3888888888888889, -0.05555555555555555]"
"[2927, 0.2, 0.2]"
"[1317, 0.75, 0.8]"
"[1317, 1.0, 0.0]"
"[1317, 0.875, 0.9]"
"[1317, 0.36666666666666664, -0.06666666666666667]"
"[1317, 0.3666666666666667, -0.025]"
"[1317, 0.25, 0.25]"
"[1317, 0.6166666666666666, 0.26666666666666666]"
"[3414, 0.0, 0.0]"
"[3414, 0.0, 0.0]"
"[3414, 0.0, 0.0]"
"[3414, 0.6333333333333333, 0.35]"
"[3414, 0.21999999999999997, -0.03749999999999999]"
"[2268, 0.7619047619047619, 0.6952380952380953]"
"[2268, 0.6, 0.1]"
"[2268, 0.425, 0.3]"
"[1264, 0.5272727272727273, 0.41818181818181815]"
"[1264, 0.8333333333333334, 0.43333333333333335]"
"[1264, 0.0, 0.0]"
"[1264, 0.25, 0.0]"
"[1264, 0.4348484848484849, 0.19545454545454544]"
"[1264, 0.0, 0.0]"
